run_name,val_mse
2026-05-28_13-30-29,0.25103
2026-05-28_13-41-51,0.26263
2026-05-28_13-54-06,0.23536
2026-05-28_14-01-11,0.31518
2026-05-28_14-05-37,0.26240
2026-05-28_14-13-27,0.07943
2026-05-28_14-33-18,0.24455
2026-05-28_14-39-56,0.28992
2026-05-28_14-43-56,0.27162
2026-05-28_14-48-05,0.09219
2026-05-28_14-58-37,0.23260
2026-05-28_15-04-27,0.17701
2026-05-28_15-12-14,0.08408
2026-05-28_15-32-23,0.27373
2026-05-28_15-36-55,0.25142
2026-05-28_15-41-48,0.11545
2026-05-28_15-52-18,0.10192
2026-05-28_16-12-17,0.28513
2026-05-28_16-16-25,0.24000
2026-05-28_16-20-32,0.26127
2026-05-28_16-24-45,0.24930
2026-05-28_16-29-07,0.21586
2026-05-28_16-35-32,0.05492
2026-05-28_16-55-40,0.06285
2026-05-28_17-07-28,0.05501
2026-05-28_17-27-58,0.20906
2026-05-28_17-33-01,0.25236
2026-05-28_17-36-17,0.10928
2026-05-28_17-43-32,0.21178
2026-05-28_21-56-57,0.11508
2026-05-28_22-06-22,0.14084
2026-05-28_22-23-49,0.11459
2026-05-28_22-37-18,0.28106
2026-05-28_22-45-51,0.08470
2026-05-29_09-08-10,0.25502
2026-05-29_09-21-14,0.04200
2026-05-29_10-00-11,0.03591
2026-05-29_12-37-55,0.04049
2026-05-29_13-46-16,0.03531
2026-05-29_18-21-54,0.03878
2026-05-29_21-02-19,0.07619
